time,gaze,,touch,,l_palm,,,l_thumb,,,l_index,,,l_middle,,,l_ring,,,l_pinky,,,r_palm,,,r_thumb,,,r_index,,,r_middle,,,r_ring,,,r_pinky,,,
14.21811,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.11013, -0.04040, 0.24364),(0.05889, -0.02729, 0.27769),(0.06461, 0.02036, 0.29366),(0.05491, -0.02915, 0.28594),(0.06739, -0.04512, 0.29006),(0.08449, -0.05107, 0.29260),
14.24516,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.11013, -0.04048, 0.24381),(0.05865, -0.02772, 0.27801),(0.06341, 0.01825, 0.29403),(0.05498, -0.02911, 0.28661),(0.06751, -0.04522, 0.29058),(0.08470, -0.05117, 0.29304),
14.26219,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.11013, -0.04053, 0.24389),(0.05859, -0.02784, 0.27813),(0.06315, 0.01777, 0.29416),(0.05499, -0.02913, 0.28680),(0.06753, -0.04527, 0.29074),(0.08474, -0.05121, 0.29319),
14.27975,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.11013, -0.04053, 0.24389),(0.05859, -0.02784, 0.27813),(0.06315, 0.01777, 0.29416),(0.05499, -0.02913, 0.28680),(0.06753, -0.04527, 0.29074),(0.08474, -0.05121, 0.29319),
14.31194,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.10985, -0.04094, 0.24443),(0.05809, -0.02917, 0.27872),(0.06055, 0.01232, 0.29400),(0.05476, -0.02949, 0.28810),(0.06753, -0.04560, 0.29201),(0.08495, -0.05148, 0.29438),
14.33011,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.10974, -0.04105, 0.24465),(0.05796, -0.02945, 0.27896),(0.06013, 0.01142, 0.29412),(0.05467, -0.02966, 0.28844),(0.06749, -0.04577, 0.29233),(0.08495, -0.05162, 0.29468),
14.3667,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.10967, -0.04086, 0.24512),(0.05794, -0.02941, 0.27939),(0.06000, 0.01112, 0.29487),(0.05456, -0.02943, 0.28926),(0.06745, -0.04561, 0.29306),(0.08501, -0.05142, 0.29544),
14.40172,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.10852, -0.04097, 0.24657),(0.05648, -0.03172, 0.28105),(0.05746, 0.00798, 0.29729),(0.05338, -0.03201, 0.29148),(0.06700, -0.04801, 0.29474),(0.08495, -0.05280, 0.29738),
14.41847,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.10852, -0.04097, 0.24657),(0.05648, -0.03172, 0.28105),(0.05746, 0.00798, 0.29729),(0.05338, -0.03201, 0.29148),(0.06700, -0.04801, 0.29474),(0.08495, -0.05280, 0.29738),
14.42828,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.10746, -0.04086, 0.24867),(0.05519, -0.03363, 0.28342),(0.05507, 0.00365, 0.29954),(0.05249, -0.03428, 0.29424),(0.06670, -0.05005, 0.29697),(0.08484, -0.05423, 0.29950),
