time,gaze,,touch,,l_palm,,,l_thumb,,,l_index,,,l_middle,,,l_ring,,,l_pinky,,,r_palm,,,r_thumb,,,r_index,,,r_middle,,,r_ring,,,r_pinky,,
19.91728,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.91728,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.93728,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.08883, 0.00794, 0.32587,0.04953, -0.02833, 0.36710,0.04129, -0.00934, 0.41045,0.10024, -0.02699, 0.33111,0.11174, -0.01849, 0.32888,0.12123, -0.00763, 0.33385
19.9476,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.08943, 0.00770, 0.32556,0.05017, -0.02853, 0.36667,0.04188, -0.00997, 0.41008,0.10093, -0.02710, 0.33033,0.11237, -0.01865, 0.32833,0.12190, -0.00785, 0.33339
19.95619,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.08943, 0.00770, 0.32556,0.05017, -0.02853, 0.36667,0.04188, -0.00997, 0.41008,0.10093, -0.02710, 0.33033,0.11237, -0.01865, 0.32833,0.12190, -0.00785, 0.33339
19.96193,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.09006, 0.00723, 0.32529,0.05070, -0.02904, 0.36598,0.04237, -0.01103, 0.40962,0.10158, -0.02749, 0.32924,0.11297, -0.01917, 0.32759,0.12235, -0.00852, 0.33282
19.96888,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.09006, 0.00723, 0.32529,0.05070, -0.02904, 0.36598,0.04237, -0.01103, 0.40962,0.10158, -0.02749, 0.32924,0.11297, -0.01917, 0.32759,0.12235, -0.00852, 0.33282
19.97585,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.09006, 0.00723, 0.32529,0.05070, -0.02904, 0.36598,0.04237, -0.01103, 0.40962,0.10158, -0.02749, 0.32924,0.11297, -0.01917, 0.32759,0.12235, -0.00852, 0.33282
19.98286,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.09099, 0.00676, 0.32481,0.05171, -0.02959, 0.36515,0.04346, -0.01214, 0.40906,0.10275, -0.02771, 0.32777,0.11403, -0.01957, 0.32655,0.12304, -0.00909, 0.33192
19.98994,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.09099, 0.00676, 0.32481,0.05171, -0.02959, 0.36515,0.04346, -0.01214, 0.40906,0.10275, -0.02771, 0.32777,0.11403, -0.01957, 0.32655,0.12304, -0.00909, 0.33192
