time,touch,,button_pos,,l_palm,,,l_thumb,,,l_index,,,l_middle,,,l_ring,,,l_pinky,,,r_palm,,,r_thumb,,,r_index,,,r_middle,,,r_ring,,,r_pinky,,
0.113618850708008,NaN, NaN,0.00000, 0.15000,0.01859, -0.06765, 0.30612,0.06802, -0.07913, 0.33718,0.08523, -0.00848, 0.35844,0.07357, -0.03657, 0.38136,0.02719, -0.10095, 0.32262,0.01440, -0.09563, 0.32948,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.124105453491211,NaN, NaN,0.00000, 0.15000,0.01859, -0.06765, 0.30612,0.06802, -0.07913, 0.33718,0.08523, -0.00848, 0.35844,0.07357, -0.03657, 0.38136,0.02719, -0.10095, 0.32262,0.01440, -0.09563, 0.32948,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.133634567260742,NaN, NaN,0.00000, 0.15000,0.01718, -0.06720, 0.30542,0.06515, -0.08012, 0.33696,0.08316, -0.00702, 0.35758,0.06868, -0.02375, 0.38185,0.02627, -0.10050, 0.32220,0.01335, -0.09549, 0.32888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.141584396362305,NaN, NaN,0.00000, 0.15000,0.01718, -0.06720, 0.30542,0.06515, -0.08012, 0.33696,0.08316, -0.00702, 0.35758,0.06868, -0.02375, 0.38185,0.02627, -0.10050, 0.32220,0.01335, -0.09549, 0.32888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.150047302246094,NaN, NaN,0.00000, 0.15000,0.01718, -0.06720, 0.30542,0.06515, -0.08012, 0.33696,0.08316, -0.00702, 0.35758,0.06868, -0.02375, 0.38185,0.02627, -0.10050, 0.32220,0.01335, -0.09549, 0.32888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.159164428710938,NaN, NaN,0.00000, 0.15000,0.01530, -0.06688, 0.30477,0.06155, -0.08180, 0.33686,0.08030, -0.00636, 0.35784,0.06194, -0.01206, 0.38300,0.02470, -0.10042, 0.32172,0.01154, -0.09590, 0.32803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.167547225952148,NaN, NaN,0.00000, 0.15000,0.01530, -0.06688, 0.30477,0.06155, -0.08180, 0.33686,0.08030, -0.00636, 0.35784,0.06194, -0.01206, 0.38300,0.02470, -0.10042, 0.32172,0.01154, -0.09590, 0.32803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.176597595214844,NaN, NaN,0.00000, 0.15000,0.01413, -0.06650, 0.30412,0.05931, -0.08223, 0.33676,0.07852, -0.00532, 0.35726,0.05827, -0.00803, 0.38218,0.02366, -0.10000, 0.32166,0.01031, -0.09570, 0.32763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.184925079345703,NaN, NaN,0.00000, 0.15000,0.01413, -0.06650, 0.30412,0.05931, -0.08223, 0.33676,0.07852, -0.00532, 0.35726,0.05827, -0.00803, 0.38218,0.02366, -0.10000, 0.32166,0.01031, -0.09570, 0.32763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.194084167480469,NaN, NaN,0.00000, 0.15000,0.01293, -0.06594, 0.30337,0.05713, -0.08254, 0.33649,0.07681, -0.00451, 0.35687,0.05528, -0.00549, 0.38150,0.02251, -0.09949, 0.32145,0.00895, -0.09534, 0.32711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.203008651733398,NaN, NaN,0.00000, 0.15000,0.01293, -0.06594, 0.30337,0.05713, -0.08254, 0.33649,0.07681, -0.00451, 0.35687,0.05528, -0.00549, 0.38150,0.02251, -0.09949, 0.32145,0.00895, -0.09534, 0.32711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.2113037109375,NaN, NaN,0.00000, 0.15000,0.01293, -0.06594, 0.30337,0.05713, -0.08254, 0.33649,0.07681, -0.00451, 0.35687,0.05528, -0.00549, 0.38150,0.02251, -0.09949, 0.32145,0.00895, -0.09534, 0.32711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.219936370849609,NaN, NaN,0.00000, 0.15000,0.01121, -0.06499, 0.30191,0.05459, -0.08193, 0.33551,0.07413, -0.00222, 0.35499,0.05180, -0.00207, 0.37942,0.02132, -0.09832, 0.32086,0.00748, -0.09446, 0.32618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.228975296020508,NaN, NaN,0.00000, 0.15000,0.01121, -0.06499, 0.30191,0.05459, -0.08193, 0.33551,0.07413, -0.00222, 0.35499,0.05180, -0.00207, 0.37942,0.02132, -0.09832, 0.32086,0.00748, -0.09446, 0.32618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.237405776977539,NaN, NaN,0.00000, 0.15000,0.01014, -0.06397, 0.30096,0.05298, -0.08139, 0.33490,0.07253, -0.00101, 0.35443,0.05001, -0.00081, 0.37869,0.02034, -0.09732, 0.32030,0.00633, -0.09360, 0.32536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
