time,gaze,,touch,,l_palm,,,l_thumb,,,l_index,,,l_middle,,,l_ring,,,l_pinky,,,r_palm,,,r_thumb,,,r_index,,,r_middle,,,r_ring,,,r_pinky,,
838.8951,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
838.8951,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
838.9152,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06556, -0.00619, 0.29639,0.01764, -0.03111, 0.32454,0.00742, 0.00112, 0.36149,0.06637, -0.03619, 0.29779,0.07848, -0.03257, 0.29841,0.08879, -0.02643, 0.30504
838.92,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06538, -0.00769, 0.29399,0.01733, -0.03244, 0.32189,0.00699, -0.00095, 0.35876,0.06624, -0.03766, 0.29522,0.07829, -0.03413, 0.29600,0.08856, -0.02798, 0.30270
838.9267,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06538, -0.00769, 0.29399,0.01733, -0.03244, 0.32189,0.00699, -0.00095, 0.35876,0.06624, -0.03766, 0.29522,0.07829, -0.03413, 0.29600,0.08856, -0.02798, 0.30270
838.9337,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06538, -0.00769, 0.29399,0.01733, -0.03244, 0.32189,0.00699, -0.00095, 0.35876,0.06624, -0.03766, 0.29522,0.07829, -0.03413, 0.29600,0.08856, -0.02798, 0.30270
838.9406,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06498, -0.01489, 0.28274,0.01666, -0.03947, 0.30947,0.00602, -0.01247, 0.34621,0.06609, -0.04478, 0.28337,0.07795, -0.04146, 0.28468,0.08798, -0.03524, 0.29178
838.9476,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06498, -0.01489, 0.28274,0.01666, -0.03947, 0.30947,0.00602, -0.01247, 0.34621,0.06609, -0.04478, 0.28337,0.07795, -0.04146, 0.28468,0.08798, -0.03524, 0.29178
838.9537,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06498, -0.01489, 0.28274,0.01666, -0.03947, 0.30947,0.00602, -0.01247, 0.34621,0.06609, -0.04478, 0.28337,0.07795, -0.04146, 0.28468,0.08798, -0.03524, 0.29178
838.9608,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06519, -0.02149, 0.27088,0.01646, -0.04519, 0.29689,0.00704, -0.02394, 0.33303,0.06614, -0.05133, 0.27119,0.07788, -0.04841, 0.27290,0.08773, -0.04225, 0.28033
838.9649,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06519, -0.02149, 0.27088,0.01646, -0.04519, 0.29689,0.00704, -0.02394, 0.33303,0.06614, -0.05133, 0.27119,0.07788, -0.04841, 0.27290,0.08773, -0.04225, 0.28033
838.9733,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06519, -0.02149, 0.27088,0.01646, -0.04519, 0.29689,0.00704, -0.02394, 0.33303,0.06614, -0.05133, 0.27119,0.07788, -0.04841, 0.27290,0.08773, -0.04225, 0.28033
838.9825,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06552, -0.02870, 0.25762,0.01622, -0.04981, 0.28379,0.01017, -0.03632, 0.31797,0.06592, -0.05843, 0.25823,0.07761, -0.05604, 0.26008,0.08738, -0.05005, 0.26761
838.9909,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06552, -0.02870, 0.25762,0.01622, -0.04981, 0.28379,0.01017, -0.03632, 0.31797,0.06592, -0.05843, 0.25823,0.07761, -0.05604, 0.26008,0.08738, -0.05005, 0.26761
839.0004,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06665, -0.03583, 0.24558,0.01713, -0.05549, 0.27089,0.01277, -0.04836, 0.30280,0.06713, -0.06557, 0.24668,0.07885, -0.06320, 0.24859,0.08829, -0.05716, 0.25634
839.009,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06665, -0.03583, 0.24558,0.01713, -0.05549, 0.27089,0.01277, -0.04836, 0.30280,0.06713, -0.06557, 0.24668,0.07885, -0.06320, 0.24859,0.08829, -0.05716, 0.25634
839.0181,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06665, -0.03583, 0.24558,0.01713, -0.05549, 0.27089,0.01277, -0.04836, 0.30280,0.06713, -0.06557, 0.24668,0.07885, -0.06320, 0.24859,0.08829, -0.05716, 0.25634
839.0291,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06661, -0.04840, 0.22869,0.01881, -0.07090, 0.25139,0.01216, -0.06816, 0.28141,0.06888, -0.07905, 0.23049,0.08081, -0.07497, 0.23236,0.08900, -0.06858, 0.24086
