time,gaze,,touch,,button_pos,,l_palm,,,l_thumb,,,l_index,,,l_middle,,,l_ring,,,l_pinky,,,r_palm,,,r_thumb,,,r_index,,,r_middle,,,r_ring,,,r_pinky,,
0.113352298736572,NaN, NaN,NaN, NaN,0,0,0.01402, -0.06498, 0.33237,0.05651, -0.06389, 0.37514,0.05118, 0.00548, 0.39867,0.04825, -0.08256, 0.37569,0.02551, -0.09884, 0.35120,0.00914, -0.09612, 0.35419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.122902870178223,NaN, NaN,NaN, NaN,0,0,0.01447, -0.06290, 0.33319,0.05773, -0.06030, 0.37513,0.05096, 0.00733, 0.39995,0.04796, -0.08512, 0.37349,0.02571, -0.09694, 0.35276,0.00925, -0.09390, 0.35518,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.130777359008789,NaN, NaN,NaN, NaN,0,0,0.01447, -0.06290, 0.33319,0.05773, -0.06030, 0.37513,0.05096, 0.00733, 0.39995,0.04796, -0.08512, 0.37349,0.02571, -0.09694, 0.35276,0.00925, -0.09390, 0.35518,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.139717578887939,NaN, NaN,NaN, NaN,0,0,0.01489, -0.06077, 0.33405,0.05858, -0.05706, 0.37544,0.05053, 0.00974, 0.40091,0.04831, -0.08547, 0.37250,0.02634, -0.09478, 0.35406,0.00983, -0.09167, 0.35622,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.148167610168457,NaN, NaN,NaN, NaN,0,0,0.01489, -0.06077, 0.33405,0.05858, -0.05706, 0.37544,0.05053, 0.00974, 0.40091,0.04831, -0.08547, 0.37250,0.02634, -0.09478, 0.35406,0.00983, -0.09167, 0.35622,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.157229900360107,NaN, NaN,NaN, NaN,0,0,0.01489, -0.06077, 0.33405,0.05858, -0.05706, 0.37544,0.05053, 0.00974, 0.40091,0.04831, -0.08547, 0.37250,0.02634, -0.09478, 0.35406,0.00983, -0.09167, 0.35622,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.165582180023193,NaN, NaN,NaN, NaN,0,0,0.01586, -0.05828, 0.33377,0.05965, -0.05340, 0.37477,0.05061, 0.01266, 0.40050,0.04821, -0.08511, 0.37042,0.02705, -0.09221, 0.35475,0.01042, -0.08885, 0.35643,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.17465877532959,NaN, NaN,NaN, NaN,0,0,0.01586, -0.05828, 0.33377,0.05965, -0.05340, 0.37477,0.05061, 0.01266, 0.40050,0.04821, -0.08511, 0.37042,0.02705, -0.09221, 0.35475,0.01042, -0.08885, 0.35643,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.18299674987793,NaN, NaN,NaN, NaN,0,0,0.01681, -0.05723, 0.33321,0.06060, -0.05167, 0.37390,0.05158, 0.01420, 0.39933,0.04851, -0.08507, 0.36846,0.02787, -0.09095, 0.35477,0.01120, -0.08746, 0.35637,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.192532062530518,NaN, NaN,NaN, NaN,0,0,0.01681, -0.05723, 0.33321,0.06060, -0.05167, 0.37390,0.05158, 0.01420, 0.39933,0.04851, -0.08507, 0.36846,0.02787, -0.09095, 0.35477,0.01120, -0.08746, 0.35637,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
