time,gaze,,touch,,l_palm,,,l_thumb,,,l_index,,,l_middle,,,l_ring,,,l_pinky,,,r_palm,,,r_thumb,,,r_index,,,r_middle,,,r_ring,,,r_pinky,,,
0.9536646,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9702193,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9871112,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.003345,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.020649,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.036821,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.053394,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.074446,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.091014,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.107582,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.124148,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.141355,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.157926,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.17463,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.191063,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.207628,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.224199,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.241248,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.25733,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.275391,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.292611,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.309182,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.325749,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.34242,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.359228,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.375446,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.392014,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.409326,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.425158,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.441724,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.458284,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.474851,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.491421,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.508677,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.524791,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.541851,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.558481,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.575051,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.59163,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.608504,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.625088,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.641651,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.658867,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.676746,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.693338,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.709887,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
