time,gaze,,touch,,button_pos,,l_palm,,,l_thumb,,,l_index,,,l_middle,,,l_ring,,,l_pinky,,,r_palm,,,r_thumb,,,r_index,,,r_middle,,,r_ring,,,r_pinky,,
0,NaN, NaN,NaN, NaN,0.00000, 0.00000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN, NaN,NaN, NaN,0.00000, 0.00000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0199999809265137,NaN, NaN,NaN, NaN,0.00000, 0.00000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.13184, -0.02292, 0.29783,0.08491, -0.02961, 0.34880,0.10276, -0.03447, 0.36195,0.11965, -0.03938, 0.33942,0.14117, -0.05256, 0.31354,0.15343, -0.04633, 0.31357
0.0320215225219727,NaN, NaN,NaN, NaN,0.00000, 0.00000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.13184, -0.02292, 0.29783,0.08491, -0.02961, 0.34880,0.10276, -0.03447, 0.36195,0.11965, -0.03938, 0.33942,0.14117, -0.05256, 0.31354,0.15343, -0.04633, 0.31357
0.0381083488464355,NaN, NaN,NaN, NaN,0.00000, 0.00000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.13127, -0.02177, 0.29689,0.08542, -0.02783, 0.34818,0.10242, -0.03231, 0.36208,0.11892, -0.03649, 0.34009,0.14052, -0.05157, 0.31237,0.15277, -0.04553, 0.31248
0.045130729675293,NaN, NaN,NaN, NaN,0.00000, 0.00000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.13127, -0.02177, 0.29689,0.08542, -0.02783, 0.34818,0.10242, -0.03231, 0.36208,0.11892, -0.03649, 0.34009,0.14052, -0.05157, 0.31237,0.15277, -0.04553, 0.31248
0.0521254539489746,NaN, NaN,NaN, NaN,0.00000, 0.00000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.13127, -0.02177, 0.29689,0.08542, -0.02783, 0.34818,0.10242, -0.03231, 0.36208,0.11892, -0.03649, 0.34009,0.14052, -0.05157, 0.31237,0.15277, -0.04553, 0.31248
0.0599684715270996,NaN, NaN,NaN, NaN,0.00000, 0.00000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.12971, -0.02075, 0.29574,0.08490, -0.02691, 0.34708,0.10147, -0.03179, 0.36154,0.11740, -0.03405, 0.33983,0.13919, -0.05063, 0.31076,0.15137, -0.04463, 0.31111
0.0671482086181641,NaN, NaN,NaN, NaN,0.00000, 0.00000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.12971, -0.02075, 0.29574,0.08490, -0.02691, 0.34708,0.10147, -0.03179, 0.36154,0.11740, -0.03405, 0.33983,0.13919, -0.05063, 0.31076,0.15137, -0.04463, 0.31111
0.0742378234863281,NaN, NaN,NaN, NaN,0.00000, 0.00000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.12845, -0.02029, 0.29487,0.08431, -0.02655, 0.34630,0.10057, -0.03182, 0.36068,0.11620, -0.03302, 0.33920,0.13802, -0.05020, 0.30964,0.15013, -0.04423, 0.31011
0.0782885551452637,NaN, NaN,NaN, NaN,0.00000, 0.00000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.12845, -0.02029, 0.29487,0.08431, -0.02655, 0.34630,0.10057, -0.03182, 0.36068,0.11620, -0.03302, 0.33920,0.13802, -0.05020, 0.30964,0.15013, -0.04423, 0.31011
