time,gaze,,touch,,button_pos,,,l_palm,,,l_thumb,,,l_index,,,l_middle,,,l_ring,,,l_pinky,,,r_palm,,,r_thumb,,,r_index,,,r_middle,,,r_ring,,,r_pinky,,
0.108954429626465,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,0.04175, -0.09820, 0.20157,0.09412, -0.08334, 0.23465,0.09832, -0.08846, 0.24795,0.07455, -0.12056, 0.21444,0.06000, -0.12806, 0.21444,0.04585, -0.12878, 0.22075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.117634773254395,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,0.04136, -0.10894, 0.19166,0.09366, -0.08541, 0.21858,0.09781, -0.09794, 0.23462,0.07374, -0.12959, 0.20743,0.05925, -0.13687, 0.20852,0.04526, -0.13644, 0.21504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.128076553344727,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,0.04136, -0.10894, 0.19166,0.09366, -0.08541, 0.21858,0.09781, -0.09794, 0.23462,0.07374, -0.12959, 0.20743,0.05925, -0.13687, 0.20852,0.04526, -0.13644, 0.21504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.137576103210449,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,0.04396, -0.11731, 0.17919,0.10112, -0.08375, 0.18825,0.09989, -0.10263, 0.21987,0.07508, -0.13553, 0.19783,0.06035, -0.14233, 0.20004,0.04607, -0.14082, 0.20665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.147007942199707,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,0.04396, -0.11731, 0.17919,0.10112, -0.08375, 0.18825,0.09989, -0.10263, 0.21987,0.07508, -0.13553, 0.19783,0.06035, -0.14233, 0.20004,0.04607, -0.14082, 0.20665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.156538963317871,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.165217399597168,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.174633026123047,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.183294296264648,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.19350528717041,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.20272159576416,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.211265563964844,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.219775199890137,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.229366302490234,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.238061904907227,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.247847557067871,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.257209777832031,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.26618766784668,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.276884078979492,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.284214973449707,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.294024467468262,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.302536010742188,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.31257438659668,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.320914268493652,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.330665588378906,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.341220855712891,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.350184440612793,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.359227180480957,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.36837100982666,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.377403259277344,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.38604736328125,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.395856857299805,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.40455436706543,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.413841247558594,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.423001289367676,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.432266235351563,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.15008, -0.03650, 0.25271,0.09756, -0.04674, 0.28815,0.08586, -0.02908, 0.32661,0.13719, -0.07585, 0.26639,0.15341, -0.07275, 0.26693,0.16701, -0.06483, 0.27322
0.441937446594238,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.15008, -0.03650, 0.25271,0.09756, -0.04674, 0.28815,0.08586, -0.02908, 0.32661,0.13719, -0.07585, 0.26639,0.15341, -0.07275, 0.26693,0.16701, -0.06483, 0.27322
0.450666427612305,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.15008, -0.03650, 0.25271,0.09756, -0.04674, 0.28815,0.08586, -0.02908, 0.32661,0.13719, -0.07585, 0.26639,0.15341, -0.07275, 0.26693,0.16701, -0.06483, 0.27322
0.45973014831543,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.14604, -0.02409, 0.25750,0.08612, -0.04171, 0.29008,0.08980, -0.03465, 0.32252,0.13312, -0.06060, 0.26876,0.14997, -0.05687, 0.26721,0.16417, -0.05014, 0.27334
0.468758583068848,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.14604, -0.02409, 0.25750,0.08612, -0.04171, 0.29008,0.08980, -0.03465, 0.32252,0.13312, -0.06060, 0.26876,0.14997, -0.05687, 0.26721,0.16417, -0.05014, 0.27334
0.478985786437988,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.14165, -0.01954, 0.26015,0.08146, -0.03998, 0.29283,0.08623, -0.03100, 0.32590,0.13041, -0.05601, 0.27091,0.14755, -0.05199, 0.26969,0.16135, -0.04506, 0.27561
0.487706184387207,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.14165, -0.01954, 0.26015,0.08146, -0.03998, 0.29283,0.08623, -0.03100, 0.32590,0.13041, -0.05601, 0.27091,0.14755, -0.05199, 0.26969,0.16135, -0.04506, 0.27561
0.497864723205566,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.13744, -0.01582, 0.26251,0.07732, -0.03658, 0.29588,0.08278, -0.02587, 0.32949,0.12704, -0.05170, 0.27346,0.14420, -0.04776, 0.27227,0.15791, -0.04083, 0.27791
0.506831169128418,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.13744, -0.01582, 0.26251,0.07732, -0.03658, 0.29588,0.08278, -0.02587, 0.32949,0.12704, -0.05170, 0.27346,0.14420, -0.04776, 0.27227,0.15791, -0.04083, 0.27791
0.515891075134277,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.13367, -0.01308, 0.26482,0.07342, -0.03390, 0.29885,0.07966, -0.02121, 0.33361,0.12407, -0.04841, 0.27593,0.14129, -0.04452, 0.27472,0.15490, -0.03759, 0.28008
0.525731086730957,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.13367, -0.01308, 0.26482,0.07342, -0.03390, 0.29885,0.07966, -0.02121, 0.33361,0.12407, -0.04841, 0.27593,0.14129, -0.04452, 0.27472,0.15490, -0.03759, 0.28008
0.534773826599121,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.13019, -0.01079, 0.26729,0.06956, -0.03195, 0.30177,0.07675, -0.01729, 0.33782,0.12141, -0.04573, 0.27849,0.13869, -0.04187, 0.27721,0.15213, -0.03496, 0.28231
0.544675827026367,NaN, NaN,NaN, NaN,0.00000, 0.00000, 0.70000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.13019, -0.01079, 0.26729,0.06956, -0.03195, 0.30177,0.07675, -0.01729, 0.33782,0.12141, -0.04573, 0.27849,0.13869, -0.04187, 0.27721,0.15213, -0.03496, 0.28231
