time,gaze,,touch,,l_palm,,,l_thumb,,,l_index,,,l_middle,,,l_ring,,,l_pinky,,,r_palm,,,r_thumb,,,r_index,,,r_middle,,,r_ring,,,r_pinky,,
547.1702,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06618, 0.00941, 0.31520,0.03663, -0.02069, 0.35238,0.01674, 0.00926, 0.38626,0.07579, -0.02054, 0.32285,0.08750, -0.01065, 0.32172,0.09527, -0.00001, 0.32553
547.1801,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06630, 0.00998, 0.31508,0.03659, -0.02029, 0.35212,0.01659, 0.01000, 0.38606,0.07568, -0.02007, 0.32291,0.08751, -0.01028, 0.32160,0.09533, 0.00035, 0.32543
547.1895,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06630, 0.00998, 0.31508,0.03659, -0.02029, 0.35212,0.01659, 0.01000, 0.38606,0.07568, -0.02007, 0.32291,0.08751, -0.01028, 0.32160,0.09533, 0.00035, 0.32543
547.1984,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06630, 0.00998, 0.31508,0.03659, -0.02029, 0.35212,0.01659, 0.01000, 0.38606,0.07568, -0.02007, 0.32291,0.08751, -0.01028, 0.32160,0.09533, 0.00035, 0.32543
547.2093,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06632, 0.01072, 0.31447,0.03657, -0.01975, 0.35152,0.01626, 0.01118, 0.38537,0.07575, -0.01929, 0.32265,0.08752, -0.00964, 0.32105,0.09535, 0.00101, 0.32485
547.2172,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06632, 0.01072, 0.31447,0.03657, -0.01975, 0.35152,0.01626, 0.01118, 0.38537,0.07575, -0.01929, 0.32265,0.08752, -0.00964, 0.32105,0.09535, 0.00101, 0.32485
547.227,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06638, 0.01126, 0.31406,0.03660, -0.01915, 0.35129,0.01612, 0.01220, 0.38493,0.07608, -0.01850, 0.32259,0.08757, -0.00909, 0.32074,0.09541, 0.00158, 0.32447
547.236,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06638, 0.01126, 0.31406,0.03660, -0.01915, 0.35129,0.01612, 0.01220, 0.38493,0.07608, -0.01850, 0.32259,0.08757, -0.00909, 0.32074,0.09541, 0.00158, 0.32447
547.2474,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06645, 0.01180, 0.31361,0.03670, -0.01869, 0.35089,0.01596, 0.01293, 0.38441,0.07636, -0.01778, 0.32241,0.08766, -0.00853, 0.32032,0.09549, 0.00217, 0.32404
547.2575,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06645, 0.01180, 0.31361,0.03670, -0.01869, 0.35089,0.01596, 0.01293, 0.38441,0.07636, -0.01778, 0.32241,0.08766, -0.00853, 0.32032,0.09549, 0.00217, 0.32404
547.2669,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06650, 0.01226, 0.31321,0.03679, -0.01835, 0.35048,0.01585, 0.01338, 0.38395,0.07669, -0.01711, 0.32210,0.08775, -0.00803, 0.31990,0.09556, 0.00268, 0.32362
547.2765,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06650, 0.01226, 0.31321,0.03679, -0.01835, 0.35048,0.01585, 0.01338, 0.38395,0.07669, -0.01711, 0.32210,0.08775, -0.00803, 0.31990,0.09556, 0.00268, 0.32362
547.2851,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06654, 0.01273, 0.31277,0.03676, -0.01792, 0.34992,0.01572, 0.01386, 0.38342,0.07676, -0.01663, 0.32153,0.08774, -0.00765, 0.31942,0.09556, 0.00303, 0.32319
